example_id,source,split,model_name,task,train_loss,validation_loss,train_metric,validation_metric,learning_rate,epochs,additional_information,diagnosis,evidence,next_experiment
synthetic_v3_healthy_049,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.428, 1.265, 1.108, 0.958, 0.815, 0.68, 0.554, 0.438, 0.333, 0.241, 0.166, 0.121]","[1.49, 1.328, 1.173, 1.024, 0.883, 0.75, 0.625, 0.51, 0.406, 0.315, 0.241, 0.196]","[0.521, 0.576, 0.63, 0.681, 0.73, 0.776, 0.819, 0.859, 0.894, 0.926, 0.951, 0.967]","[0.508, 0.561, 0.611, 0.659, 0.705, 0.748, 0.788, 0.826, 0.859, 0.889, 0.913, 0.927]",0.001775,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",A split audit found no overlap and both curves converged normally.,healthy,"Both splits improved over 12 epochs. Final losses were 0.121 for training and 0.196 for validation, with final metrics of 0.967 and 0.927.",Run the same configuration with a second seed and compare the final metrics.
synthetic_v3_learning_rate_too_high_038,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.322, 2.355, 0.946, 2.637, 1.237, 2.047, 1.358, 2.102, 1.432, 2.565]","[1.501, 2.467, 1.076, 2.794, 1.34, 2.152, 1.537, 2.271, 1.603, 2.749]","[0.573, 0.293, 0.474, 0.256, 0.526, 0.224, 0.578, 0.358, 0.454, 0.235]","[0.538, 0.258, 0.457, 0.232, 0.488, 0.193, 0.56, 0.323, 0.429, 0.206]",0.081,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",No checkpoints were removed from the recorded history.,learning_rate_too_high,"The large recurring loss spikes were paired with metric drops, such as 0.573 to 0.293 between epochs 1 and 2.",Reduce the learning rate first and check whether the loss begins to converge smoothly.
synthetic_v3_data_leakage_suspected_042,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[0.42, 0.314, 0.218, 0.134, 0.065, 0.024]","[0.38, 0.286, 0.201, 0.127, 0.067, 0.03]","[0.84, 0.881, 0.918, 0.95, 0.976, 0.992]","[0.88, 0.91, 0.937, 0.96, 0.979, 0.991]",0.001,"[1, 2, 3, 4, 5, 6]",A split audit found 171 identical samples in both the training and validation sets. Accuracy on a deduplicated holdout was 0.68.,data_leakage_suspected,"The split audit found 171 exact duplicates shared by the training and validation sets. Validation metric was 0.991, but the deduplicated holdout metric was 0.680.","Create a new clean split before preprocessing, remove the leakage source, and evaluate the same configuration on an untouched holdout set."
synthetic_v3_data_leakage_suspected_041,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[0.42, 0.318, 0.226, 0.146, 0.081, 0.041]","[0.38, 0.281, 0.191, 0.113, 0.049, 0.01]","[0.84, 0.881, 0.918, 0.95, 0.976, 0.992]","[0.88, 0.91, 0.937, 0.961, 0.98, 0.992]",0.001,"[1, 2, 3, 4, 5, 6]",Source documents were divided by individual rows; paragraphs from the same documents occurred in both splits. Performance dropped to 0.66 when split by document.,data_leakage_suspected,"Paragraphs from the same source documents crossed the split boundary. The validation metric was 0.992, but a document-level holdout reached only 0.660.","Remove the overlap, retrain from scratch, and verify the result on a clean holdout."
synthetic_v3_data_leakage_suspected_004,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[0.42, 0.322, 0.234, 0.157, 0.094, 0.056]","[0.38, 0.286, 0.2, 0.126, 0.065, 0.028]","[0.84, 0.881, 0.918, 0.951, 0.977, 0.993]","[0.88, 0.911, 0.939, 0.963, 0.983, 0.995]",0.001,"[1, 2, 3, 4, 5, 6]",Augmentation was applied before splitting and created 242 near-identical image pairs across training and validation.,data_leakage_suspected,The audit found 242 near-duplicate augmented images shared between the training and validation splits.,"Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_data_leakage_suspected_039,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[0.42, 0.313, 0.216, 0.132, 0.063, 0.021]","[0.38, 0.282, 0.193, 0.115, 0.052, 0.013]","[0.84, 0.878, 0.912, 0.942, 0.966, 0.981]","[0.88, 0.911, 0.939, 0.964, 0.984, 0.996]",0.001,"[1, 2, 3, 4, 5, 6]",A group audit found that records from the same patients appeared in both training and validation instead of being split by patient ID.,data_leakage_suspected,"The same patients occurred in both splits, so related records could leak patient-specific information into validation.","Create a new clean split before preprocessing, remove the leakage source, and evaluate the same configuration on an untouched holdout set."
synthetic_v3_learning_rate_too_high_041,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.321, 2.415, 1.249, 2.929, 1.197, 2.614, 1.408, 2.438, 0.96, 2.155, 1.21, 2.737]","[1.436, 2.551, 1.418, 3.096, 1.344, 2.804, 1.602, 2.626, 1.119, 2.262, 1.317, 2.922]","[0.513, 0.36, 0.506, 0.305, 0.52, 0.221, 0.458, 0.314, 0.537, 0.312, 0.521, 0.235]","[0.499, 0.33, 0.48, 0.283, 0.484, 0.206, 0.418, 0.294, 0.497, 0.275, 0.481, 0.221]",0.2656,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Gradient norms repeatedly spiked after optimizer updates.,learning_rate_too_high,"The large recurring loss spikes were paired with metric drops, such as 0.513 to 0.360 between epochs 1 and 2.",Reduce the learning rate first and check whether the loss begins to converge smoothly.
synthetic_v3_underfitting_034,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[2.164, 1.973, 1.818, 1.694, 1.601, 1.535, 1.494, 1.474, 1.47]","[2.226, 2.029, 1.868, 1.74, 1.644, 1.576, 1.534, 1.513, 1.508]","[0.287, 0.336, 0.377, 0.408, 0.432, 0.449, 0.46, 0.465, 0.466]","[0.286, 0.329, 0.365, 0.392, 0.414, 0.428, 0.438, 0.442, 0.443]",0.002485,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",Data augmentation settings stayed unchanged during training.,underfitting,"Both splits reached a weak plateau. Training and validation losses ended close together at 1.470 and 1.508, and neither metric exceeded 0.466.","Increase the training budget first, then try a model with more capacity if the plateau remains."
synthetic_v3_learning_rate_too_low_039,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.517, 1.509, 1.5, 1.492, 1.483, 1.475, 1.466, 1.458, 1.449, 1.441, 1.432, 1.424, 1.415, 1.407]","[1.577, 1.569, 1.562, 1.554, 1.546, 1.538, 1.531, 1.523, 1.515, 1.508, 1.5, 1.492, 1.485, 1.477]","[0.362, 0.367, 0.373, 0.378, 0.384, 0.389, 0.394, 0.4, 0.405, 0.41, 0.416, 0.421, 0.426, 0.432]","[0.352, 0.357, 0.362, 0.366, 0.371, 0.376, 0.381, 0.386, 0.39, 0.395, 0.4, 0.405, 0.409, 0.414]",9.3e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","There were no spikes, but each epoch changed the metrics only slightly.",learning_rate_too_low,"Training loss decreased consistently by only 0.110, from 1.517 to 1.407, across 14 epochs, while the training metric improved by only 0.070.",Increase the learning rate by about 10x and run the same experiment again.
synthetic_v3_overfitting_033,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.623, 1.333, 1.062, 0.812, 0.586, 0.389, 0.228, 0.131]","[1.675, 1.279, 0.934, 0.654, 0.483, 0.605, 0.72, 0.822]","[0.469, 0.564, 0.654, 0.736, 0.81, 0.875, 0.928, 0.96]","[0.459, 0.569, 0.665, 0.743, 0.791, 0.705, 0.623, 0.552]",0.002473,"[1, 2, 3, 4, 5, 6, 7, 8]",Training kept improving after validation had started getting worse.,overfitting,"After epoch 5, training continued improving to 0.131 loss, but validation loss moved in the opposite direction and finished at 0.822.",Restore the checkpoint from epoch 5 and test early stopping.
synthetic_v3_healthy_036,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.269, 1.076, 0.896, 0.729, 0.579, 0.447, 0.34, 0.275]","[1.315, 1.13, 0.957, 0.798, 0.813, 0.528, 0.425, 0.363]","[0.403, 0.501, 0.593, 0.677, 0.754, 0.82, 0.874, 0.908]","[0.39, 0.483, 0.57, 0.65, 0.645, 0.786, 0.837, 0.869]",0.001147,"[1, 2, 3, 4, 5, 6, 7, 8]",The experiment used a fixed random seed.,healthy,"Across 8 epochs, training loss decreased from 1.269 to 0.275 and validation loss decreased from 1.315 to 0.363. The final training and validation metrics remained close at 0.908 and 0.869.",Repeat the run with another random seed to check that the result is reproducible.
synthetic_v3_learning_rate_too_low_019,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.432, 1.424, 1.416, 1.408, 1.4, 1.393, 1.385, 1.377, 1.369, 1.361, 1.354, 1.346, 1.338, 1.33, 1.322, 1.314]","[1.492, 1.484, 1.477, 1.47, 1.463, 1.456, 1.449, 1.442, 1.434, 1.427, 1.42, 1.413, 1.406, 1.399, 1.392, 1.384]","[0.305, 0.31, 0.315, 0.32, 0.325, 0.33, 0.334, 0.339, 0.344, 0.349, 0.354, 0.359, 0.363, 0.368, 0.373, 0.378]","[0.295, 0.3, 0.304, 0.309, 0.313, 0.317, 0.322, 0.326, 0.33, 0.335, 0.339, 0.343, 0.348, 0.352, 0.356, 0.361]",5.5e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","There were no spikes, but each epoch changed the metrics only slightly.",learning_rate_too_low,The curves moved in the right direction but very slowly: over 16 epochs training loss changed by just 0.118 and the metric changed by 0.073.,Try a learning rate ten times larger while keeping the other settings fixed.
synthetic_v3_data_leakage_suspected_009,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[0.42, 0.321, 0.232, 0.154, 0.091, 0.052]","[0.38, 0.288, 0.205, 0.132, 0.073, 0.037]","[0.84, 0.881, 0.918, 0.95, 0.977, 0.993]","[0.88, 0.911, 0.939, 0.963, 0.983, 0.995]",0.001,"[1, 2, 3, 4, 5, 6]",A group audit found that records from the same patients appeared in both training and validation instead of being split by patient ID.,data_leakage_suspected,"The same patients occurred in both splits, so related records could leak patient-specific information into validation.","Create a new clean split before preprocessing, remove the leakage source, and evaluate the same configuration on an untouched holdout set."
synthetic_v3_healthy_023,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.502, 1.331, 1.168, 1.012, 0.866, 0.728, 0.602, 0.487, 0.387, 0.306, 0.256]","[1.546, 1.381, 1.224, 1.073, 0.932, 0.799, 0.677, 0.567, 0.47, 0.392, 0.344]","[0.366, 0.441, 0.513, 0.581, 0.645, 0.706, 0.761, 0.812, 0.856, 0.891, 0.913]","[0.348, 0.421, 0.49, 0.556, 0.618, 0.676, 0.73, 0.778, 0.821, 0.855, 0.876]",0.000935,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",A second seed produced a similar smooth improvement on both splits.,healthy,"Training and validation followed the same improving trend: losses ended at 0.256 and 0.344, while their metrics reached 0.913 and 0.876.",Repeat the experiment once more to confirm that the stable result is reproducible.
synthetic_v3_learning_rate_too_low_023,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.677, 1.668, 1.659, 1.65, 1.64, 1.631, 1.622, 1.613, 1.604, 1.595, 1.586, 1.577]","[1.737, 1.729, 1.72, 1.712, 1.704, 1.696, 1.688, 1.68, 1.671, 1.663, 1.655, 1.647]","[0.315, 0.318, 0.32, 0.323, 0.326, 0.329, 0.331, 0.334, 0.337, 0.34, 0.342, 0.345]","[0.305, 0.306, 0.308, 0.31, 0.311, 0.313, 0.315, 0.316, 0.318, 0.32, 0.321, 0.323]",5.8e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",A short pilot with a larger rate made more progress in the same number of epochs.,learning_rate_too_low,"Despite 12 stable epochs, training loss only moved from 1.677 to 1.577, leaving performance poor within the available budget.",Raise the learning rate and compare how much progress is made in the same epoch budget.
